,seed,actions
11,3944410011,"[3, 2, 2, 0, 0, 3, 3, 3, 1, 2, 1, 2, 2, 0, 3, 0, 3, 0, 1, 0, 3, 1, 1, 2, 1, 2, 2, 0, 3, 0, 3, 0, 3, 1, 1, 1, 2, 0, 1, 2, 2, 0, 0, 3, 1, 3, 3, 0, 2, 0, 1, 3, 1, 2, 1, 2, 2, 0, 0, 3, 1, 0, 2, 2, 1, 3, 1, 3, 3, 0, 3, 0, 0, 0, 0, 2, 1, 0, 1, 3, 1, 1, 2, 2, 3, 3, 1, 2, 1, 2, 2, 0, 2, 0, 3, 2, 1, 3, 1, 3, 3, 0, 0, 0, 1, 2, 3, 0, 3, 1, 1, 2, 1, 2, 2, 0, 2, 0, 3, 2, 1, 3, 1, 3, 3, 0, 3, 0, 2, 0, 3, 0, 0, 2, 1, 1, 1, 0, 1, 3, 1, 1, 2, 2, 2, 0, 0, 3, 1, 0, 2, 2, 1, 3, 1, 3, 3, 3, 0, 2, 1, 2, 2, 0, 3, 0, 1, 1, 3, 3, 0, 0, 2, 0, 1, 3, 1, 2, 1, 2, 2, 0, 0, 3, 2, 2, 1, 3, 1, 3, 3, 0, 2, 0, 2, 2, 1, 3, 0, 2, 1, 3, 1, 3, 3, 0, 3, 0, 2, 0, 1, 3, 1, 2, 1, 2, 2, 0, 3, 1, 3, 3, 0, 0, 2, 2, 3, 0, 3, 1, 1, 2, 1, 2, 2, 0, 2, 0, 3, 2, 1, 3, 1, 3, 3, 0, 2, 1, 3, 0, 0, 2, 2]"
12,3944410012,"[3, 3, 1, 0, 2, 2, 1, 3, 2, 3, 0, 3, 3, 2, 2, 1, 3, 2, 2, 0, 3, 3, 3, 3, 1, 0, 2, 2, 1, 3, 3]"
13,3944410013,"[3, 0, 1, 2, 0, 0, 0, 0, 0, 3, 1]"
14,3944410014,"[2, 0, 0, 3, 0, 1, 2, 0]"
15,3944410015,"[3, 3, 0, 0, 2, 0, 3, 0, 2, 2, 1, 2, 2, 1, 3, 3, 0, 2, 1, 2, 2, 0, 3, 0, 3, 3, 3, 3, 1, 1, 2, 2, 2, 0, 1, 3, 3, 0, 3, 0, 2, 2, 2, 2, 0, 2, 1, 1, 1, 3, 2, 3, 0, 3, 0, 3, 3, 3, 1, 1, 1, 1, 2, 0, 1, 0, 3, 0, 0, 2, 0, 2, 1, 2, 2, 1, 3, 2, 2, 0, 3, 3, 0, 3, 3, 3, 1, 1, 1, 2, 0, 3, 0, 0, 2, 2, 1, 2, 1, 3, 0, 3, 1, 3, 0, 1, 1, 1, 2, 0, 1, 0, 3, 0, 2, 0, 0, 2, 1, 2, 1, 3, 0, 2, 1, 2, 2, 0, 3, 0, 3, 3, 3, 1, 3, 1, 1, 2, 0, 3, 0, 2, 2, 0, 3, 1, 1, 2, 2, 2, 0, 3, 1, 3, 0, 2, 1, 3, 3, 0, 0, 2]"
16,3944410016,"[3, 1, 3]"
17,3944410017,"[2, 3, 1, 2, 0, 2, 3, 1, 2, 2, 2, 0, 3, 3, 2, 1, 3, 3, 3, 0, 2, 2, 3, 1, 2, 2, 2, 0, 2, 1, 3, 0, 3, 3, 2, 1, 3, 3, 3, 0, 0, 2, 1, 3, 1, 2, 2, 2]"
18,3944410018,"[0, 3, 1, 3, 3, 0, 2, 1, 2, 2, 0, 3, 1, 3, 3, 0, 0, 1, 2, 1, 2, 2, 0, 3, 1, 3, 3, 0, 0, 0, 2, 3, 3, 1, 2, 1, 1, 2, 2, 0, 3, 2, 1, 3, 3, 0, 0, 3, 0, 0, 2, 3, 1, 1, 2, 0]"
19,3944410019,"[3, 3, 1, 1, 1, 2, 0, 2, 1, 2, 1, 3, 0, 3, 0, 3, 0, 2, 0, 1, 3, 1, 1, 2, 0, 2, 1, 1, 1, 3, 0, 1, 2, 0, 0, 0, 3, 3, 1, 2, 0, 1, 1, 1, 2, 0, 2, 0, 3, 1, 3, 0, 0, 1, 0, 3, 0, 0, 2, 2, 1, 0, 3, 3, 1, 1, 2, 0, 2, 1, 0, 3, 3, 1, 1, 2, 1, 1, 2, 0, 2, 0, 3, 1, 0, 0, 0, 3, 3, 1, 1, 2, 2]"
20,3944410020,"[2, 0, 2, 3, 1, 2, 0, 2, 0, 1, 3, 1, 2]"
